0.4, 1.0, 0.52, 0.684210526316
0.41, 1.0, 0.6, 0.75
0.42, 1.0, 0.66, 0.795180722892
0.43, 1.0, 0.66, 0.795180722892
0.44, 1.0, 0.66, 0.795180722892
0.45, 1.0, 0.68, 0.809523809524
0.46, 1.0, 0.68, 0.809523809524
0.47, 1.0, 0.68, 0.809523809524
0.48, 1.0, 0.68, 0.809523809524
0.49, 1.0, 0.72, 0.837209302326
0.5, 1.0, 0.74, 0.850574712644
0.51, 1.0, 0.74, 0.850574712644
0.52, 1.0, 0.76, 0.863636363636
0.53, 1.0, 0.78, 0.876404494382
0.54, 1.0, 0.78, 0.876404494382
0.55, 1.0, 0.84, 0.913043478261
0.56, 1.0, 0.88, 0.936170212766
0.57, 1.0, 0.88, 0.936170212766
0.58, 1.0, 0.9, 0.947368421053
0.59, 1.0, 0.9, 0.947368421053
0.6, 1.0, 0.9, 0.947368421053
0.61, 1.0, 0.92, 0.958333333333
0.62, 1.0, 0.94, 0.969072164948
0.63, 1.0, 0.94, 0.969072164948
0.64, 1.0, 0.94, 0.969072164948
0.65, 1.0, 0.94, 0.969072164948
0.66, 1.0, 0.96, 0.979591836735
0.67, 1.0, 0.96, 0.979591836735
0.68, 1.0, 0.96, 0.979591836735
0.69, 1.0, 0.96, 0.979591836735
0.7, 1.0, 0.98, 0.989898989899
0.71, 1.0, 0.98, 0.989898989899
0.72, 1.0, 0.98, 0.989898989899
0.73, 1.0, 1.0, 1.0
0.74, 1.0, 1.0, 1.0
0.75, 1.0, 1.0, 1.0
0.76, 1.0, 1.0, 1.0
0.77, 1.0, 1.0, 1.0
0.78, 1.0, 1.0, 1.0
0.79, 1.0, 1.0, 1.0
0.8, 1.0, 1.0, 1.0
0.81, 1.0, 1.0, 1.0
0.82, 1.0, 1.0, 1.0
0.83, 1.0, 1.0, 1.0
0.84, 1.0, 1.0, 1.0
0.85, 1.0, 1.0, 1.0
0.86, 1.0, 1.0, 1.0
0.87, 1.0, 1.0, 1.0
0.88, 1.0, 1.0, 1.0
0.89, 1.0, 1.0, 1.0
0.9, 1.0, 1.0, 1.0
0.91, 1.0, 1.0, 1.0
0.92, 1.0, 1.0, 1.0
0.93, 1.0, 1.0, 1.0
0.94, 1.0, 1.0, 1.0
0.95, 1.0, 1.0, 1.0
0.96, 1.0, 1.0, 1.0
0.97, 1.0, 1.0, 1.0
0.98, 1.0, 1.0, 1.0
0.99, 1.0, 1.0, 1.0
1.0, 1.0, 1.0, 1.0
